respondent_id,xyz_vaccine,seasonal_vaccine
26887,0.53,0.72
26888,0.9,0.97
26890,0.13,0.42
26891,0.39,0.52
26892,0.09,0.7
26893,0.07,0.22
26894,0.19,0.49
26895,0.05,0.66
26896,0.07,0.17
26897,0.04,0.22
26898,0.18,0.76
26899,0.09,0.17
26900,0.14,0.35
26901,0.01,0.42
26902,0.21,0.91
26903,0.45,0.13
26904,0.06,0.23
26905,0.33,0.59
26906,0.06,0.16
26907,0.02,0.39
26909,0.07,0.33
26911,0.09,0.21
26912,0.44,0.92
26913,0.82,0.89
26914,0.1,0.33
26915,0.25,0.79
26916,0.06,0.32
26918,0.61,0.84
26920,0.05,0.26
26921,0.17,0.8
26922,0.07,0.68
26923,0.07,0.28
26924,0.58,0.84
26925,0.11,0.51
26926,0.58,0.61
26927,0.28,0.47
26929,0.11,0.29
26930,0.74,0.95
26931,0.12,0.33
26932,0.05,0.76
26933,0.09,0.65
26934,0.55,0.7
26935,0.13,0.37
26936,0.57,0.61
26937,0.22,0.47
26938,0.13,0.09
26939,0.04,0.04
26940,0.22,0.38
26941,0.04,0.25
26942,0.61,0.84
26943,0.25,0.7
26944,0.11,0.15
26945,0.12,0.41
26946,0.2,0.67
26948,0.03,0.08
26949,0.03,0.07
26950,0.05,0.51
26951,0.06,0.21
26952,0.86,0.88
26953,0.67,0.95
26955,0.12,0.41
26957,0.03,0.83
26959,0.05,0.34
26960,0.05,0.05
26961,0.19,0.41
26963,0.18,0.34
26964,0.11,0.27
26965,0.77,0.95
26968,0.02,0.51
26969,0.03,0.11
26970,0.69,0.53
26971,0.08,0.22
26972,0.01,0.03
26973,0.08,0.29
26974,0.13,0.32
26975,0.05,0.39
26976,0.9,0.61
26977,0.04,0.15
26978,0.03,0.66
26979,0.33,0.57
26980,0.05,0.14
26982,0.51,0.85
26983,0.11,0.41
26984,0.1,0.26
26985,0.03,0.27
26986,0.19,0.36
26987,0.08,0.25
26989,0.19,0.62
26991,0.41,0.68
26992,0.36,0.52
26993,0.09,0.66
26996,0.34,0.42
26997,0.03,0.21
26998,0.09,0.21
26999,0.53,0.67
27000,0.09,0.22
27001,0.06,0.57
27002,0.01,0.13
27005,0.31,0.81
27006,0.78,0.84
27007,0.09,0.12
27008,0.07,0.06
27009,0.07,0.16
27010,0.1,0.17
27011,0.14,0.3
27012,0.51,0.69
27013,0.09,0.26
27014,0.03,0.37
27016,0.12,0.34
27017,0.39,0.66
27018,0.13,0.11
27019,0.85,0.94
27020,0.27,0.46
27021,0.13,0.56
27022,0.19,0.31
27023,0.23,0.3
27024,0.08,0.22
27025,0.1,0.05
27027,0.04,0.53
27028,0.25,0.76
27029,0.08,0.36
27030,0.26,0.53
27031,0.24,0.77
27032,0.17,0.46
27033,0.17,0.58
27034,0.01,0.78
27035,0.11,0.22
27036,0.15,0.5
27037,0.7,0.89
27038,0.08,0.06
27039,0.75,0.81
27040,0.2,0.14
27041,0.06,0.4
27042,0.13,0.62
27043,0.49,0.8
27044,0.01,0.09
27045,0.12,0.5
27046,0.07,0.27
27048,0.15,0.22
27049,0.23,0.9
27050,0.04,0.4
27053,0.85,0.93
27054,0.04,0.27
27055,0.1,0.8
27056,0.03,0.1
27057,0.03,0.06
27059,0.05,0.21
27060,0.02,0.21
27062,0.07,0.58
27063,0.11,0.54
27065,0.05,0.32
27066,0.07,0.58
27067,0.33,0.52
27068,0.85,0.96
27069,0.39,0.91
27070,0.07,0.22
27071,0.07,0.18
27072,0.11,0.87
27073,0.04,0.67
27074,0.04,0.32
27075,0.77,0.89
27076,0.56,0.68
27077,0.06,0.21
27078,0.17,0.8
27079,0.28,0.88
27080,0.07,0.24
27081,0.02,0.77
27082,0.24,0.52
27083,0.07,0.36
27084,0.77,0.5
27085,0.07,0.03
27087,0.21,0.45
27088,0.18,0.69
27089,0.22,0.44
27090,0.19,0.38
27091,0.73,0.15
27092,0.08,0.25
27093,0.19,0.22
27094,0.01,0.06
27095,0.06,0.32
27096,0.02,0.45
27097,0.7,0.72
27098,0.62,0.92
27099,0.13,0.32
27100,0.07,0.52
27102,0.09,0.71
27103,0.02,0.11
27104,0.26,0.39
27105,0.04,0.67
27106,0.42,0.73
27107,0.58,0.89
27109,0.07,0.15
27110,0.07,0.45
27111,0.03,0.18
27112,0.23,0.79
27113,0.09,0.22
27115,0.7,0.92
27116,0.17,0.85
27117,0.08,0.18
27118,0.11,0.33
27119,0.05,0.21
27120,0.28,0.94
27121,0.02,0.63
27124,0.08,0.19
27125,0.03,0.16
27126,0.3,0.23
27127,0.09,0.32
27128,0.18,0.4
27130,0.14,0.27
27131,0.07,0.06
27132,0.55,0.87
27134,0.58,0.9
27136,0.06,0.32
27137,0.07,0.18
27138,0.21,0.52
27139,0.21,0.09
27140,0.9,0.96
27141,0.63,0.82
27142,0.06,0.22
27143,0.25,0.62
27144,0.09,0.06
27145,0.59,0.72
27146,0.06,0.9
27148,0.22,0.42
27149,0.25,0.21
27150,0.63,0.98
27151,0.08,0.71
27152,0.04,0.25
27153,0.18,0.53
27154,0.75,0.93
27155,0.11,0.47
27156,0.01,0.21
27157,0.03,0.31
27158,0.06,0.23
27159,0.07,0.15
27160,0.3,0.28
27161,0.21,0.56
27162,0.23,0.94
27163,0.73,0.81
27164,0.32,0.19
27165,0.57,0.77
27166,0.1,0.12
27168,0.18,0.65
27170,0.23,0.77
27171,0.04,0.26
27173,0.26,0.66
27175,0.07,0.11
27176,0.41,0.92
27177,0.72,0.96
27178,0.11,0.32
27179,0.14,0.33
27180,0.27,0.36
27181,0.04,0.68
27182,0.69,0.96
27183,0.04,0.35
27184,0.03,0.43
27185,0.57,0.82
27186,0.12,0.52
27187,0.21,0.24
27188,0.05,0.5
27189,0.08,0.53
27190,0.39,0.81
27191,0.17,0.96
27192,0.6,0.85
27193,0.02,0.1
27194,0.12,0.26
27195,0.07,0.34
27196,0.34,0.26
27197,0.12,0.83
27198,0.93,0.98
27199,0.03,0.07
27200,0.26,0.74
27201,0.74,0.93
27202,0.13,0.05
27203,0.08,0.18
27204,0.04,0.11
27206,0.21,0.26
27208,0.62,0.6
27210,0.26,0.27
27211,0.11,0.34
27212,0.4,0.91
27213,0.56,0.79
27214,0.04,0.17
27216,0.05,0.8
27217,0.08,0.48
27218,0.61,0.91
27219,0.43,0.67
27220,0.17,0.57
27221,0.11,0.41
27222,0.21,0.68
27223,0.07,0.73
27224,0.19,0.66
27225,0.23,0.32
27226,0.02,0.25
27227,0.1,0.26
27228,0.37,0.75
27229,0.8,0.96
27230,0.18,0.94
27231,0.45,0.75
27232,0.11,0.74
27233,0.5,0.25
27234,0.08,0.05
27235,0.77,0.85
27236,0.1,0.89
27237,0.33,0.52
27239,0.44,0.24
27240,0.07,0.41
27241,0.1,0.26
27242,0.12,0.52
27243,0.07,0.08
27244,0.08,0.17
27245,0.08,0.61
27246,0.8,0.94
27247,0.2,0.91
27248,0.12,0.71
27249,0.07,0.36
27250,0.12,0.35
27251,0.09,0.17
27252,0.42,0.74
27253,0.07,0.83
27254,0.88,0.95
27255,0.13,0.32
27256,0.47,0.96
27257,0.39,0.52
27258,0.42,0.63
27259,0.56,0.8
27260,0.19,0.72
27261,0.08,0.44
27262,0.18,0.51
27263,0.13,0.3
27264,0.1,0.12
27265,0.11,0.46
27266,0.2,0.37
27267,0.36,0.88
27268,0.02,0.14
27269,0.68,0.54
27270,0.04,0.07
27272,0.02,0.42
27273,0.06,0.28
27274,0.15,0.42
27275,0.2,0.47
27277,0.06,0.73
27278,0.17,0.33
27282,0.09,0.7
27283,0.01,0.06
27284,0.33,0.71
27285,0.09,0.27
27287,0.21,0.57
27288,0.52,0.69
27289,0.35,0.56
27291,0.69,0.9
27292,0.08,0.52
27293,0.14,0.94
27294,0.03,0.09
27295,0.18,0.86
27296,0.1,0.53
27297,0.1,0.81
27298,0.11,0.36
27299,0.19,0.49
27300,0.21,0.96
27301,0.02,0.07
27302,0.09,0.61
27303,0.02,0.2
27304,0.05,0.65
27305,0.05,0.03
27306,0.16,0.38
27307,0.75,0.8
27308,0.16,0.3
27309,0.5,0.94
27310,0.05,0.05
27311,0.11,0.17
27312,0.07,0.32
27313,0.1,0.22
27314,0.06,0.17
27316,0.29,0.65
27319,0.29,0.83
27321,0.04,0.42
27322,0.41,0.1
27323,0.14,0.6
27324,0.36,0.71
27325,0.64,0.88
27326,0.12,0.66
27328,0.18,0.6
27329,0.13,0.35
27330,0.01,0.28
27331,0.09,0.27
27332,0.17,0.86
27333,0.62,0.83
27334,0.07,0.07
27335,0.24,0.15
27336,0.11,0.22
27337,0.24,0.89
27338,0.22,0.49
27339,0.32,0.37
27340,0.02,0.07
27341,0.18,0.45
27342,0.03,0.58
27343,0.07,0.22
27344,0.24,0.35
27345,0.06,0.27
27346,0.73,0.94
27347,0.65,0.89
27348,0.09,0.27
27349,0.09,0.34
27350,0.16,0.89
27351,0.88,0.91
27352,0.15,0.48
27353,0.01,0.29
27354,0.13,0.39
27355,0.32,0.27
27357,0.1,0.25
27359,0.31,0.59
27360,0.13,0.66
27361,0.04,0.86
27362,0.18,0.48
27363,0.18,0.28
27365,0.22,0.55
27366,0.53,0.46
27367,0.31,0.64
27368,0.1,0.48
27369,0.09,0.14
27370,0.04,0.81
27371,0.36,0.63
27372,0.08,0.17
27373,0.79,0.81
27374,0.02,0.18
27375,0.18,0.88
27376,0.76,0.67
27377,0.12,0.69
27378,0.07,0.23
27379,0.13,0.14
27380,0.21,0.93
27381,0.17,0.66
27382,0.26,0.22
27383,0.19,0.44
27384,0.06,0.41
27385,0.1,0.84
27386,0.21,0.78
27388,0.13,0.33
27389,0.23,0.5
27390,0.03,0.07
27391,0.18,0.79
27392,0.61,0.79
27393,0.02,0.07
27394,0.02,0.41
27395,0.77,0.85
27396,0.1,0.13
27397,0.89,0.95
27399,0.16,0.85
27401,0.4,0.53
27402,0.11,0.74
27403,0.08,0.21
27404,0.45,0.32
27405,0.92,0.94
27406,0.1,0.22
27407,0.07,0.03
27408,0.08,0.48
27409,0.85,0.97
27410,0.1,0.29
27412,0.24,0.89
27413,0.01,0.14
27414,0.79,0.74
27415,0.08,0.15
27418,0.37,0.21
27419,0.44,0.94
27420,0.14,0.27
27422,0.31,0.7
27423,0.03,0.19
27426,0.12,0.32
27427,0.15,0.34
27428,0.07,0.22
27429,0.39,0.36
27430,0.13,0.8
27431,0.25,0.42
27432,0.2,0.43
27433,0.13,0.81
27435,0.22,0.47
27436,0.02,0.17
27437,0.14,0.22
27439,0.31,0.37
27441,0.79,0.87
27442,0.07,0.96
27443,0.03,0.13
27444,0.14,0.07
27445,0.05,0.11
27446,0.12,0.1
27447,0.03,0.32
27449,0.15,0.94
27450,0.05,0.88
27451,0.03,0.26
27452,0.02,0.47
27454,0.12,0.52
27455,0.15,0.05
27456,0.18,0.36
27457,0.07,0.26
27458,0.1,0.25
27460,0.68,0.87
27461,0.18,0.36
27463,0.1,0.34
27464,0.55,0.81
27465,0.49,0.89
27466,0.01,0.05
27468,0.08,0.65
27469,0.03,0.56
27470,0.92,0.92
27471,0.08,0.52
27472,0.2,0.57
27474,0.16,0.3
27475,0.06,0.1
27476,0.25,0.54
27477,0.11,0.33
27478,0.02,0.71
27480,0.33,0.44
27481,0.63,0.78
27482,0.28,0.21
27483,0.36,0.47
27485,0.02,0.67
27487,0.21,0.92
27488,0.82,0.89
27489,0.75,0.65
27490,0.02,0.27
27491,0.21,0.72
27492,0.06,0.58
27493,0.13,0.87
27494,0.42,0.77
27495,0.2,0.28
27496,0.06,0.26
27497,0.09,0.06
27498,0.05,0.64
27499,0.25,0.79
27500,0.15,0.93
27501,0.04,0.27
27502,0.17,0.76
27503,0.11,0.39
27504,0.02,0.05
27505,0.05,0.32
27506,0.44,0.82
27507,0.07,0.16
27509,0.22,0.71
27510,0.64,0.6
27511,0.31,0.69
27513,0.19,0.23
27514,0.41,0.57
27515,0.54,0.36
27516,0.31,0.56
27517,0.03,0.1
27518,0.66,0.92
27519,0.03,0.17
27520,0.06,0.17
27521,0.11,0.39
27522,0.1,0.15
27524,0.04,0.16
27525,0.11,0.2
27526,0.49,0.58
27527,0.07,0.89
27528,0.24,0.81
27529,0.04,0.56
27530,0.09,0.22
27531,0.15,0.17
27532,0.19,0.88
27533,0.34,0.49
27534,0.14,0.11
27535,0.08,0.7
27536,0.12,0.44
27537,0.64,0.76
27538,0.43,0.51
27539,0.38,0.61
27540,0.56,0.27
27541,0.52,0.92
27542,0.07,0.31
27543,0.48,0.78
27544,0.19,0.36
27545,0.24,0.3
27546,0.79,0.81
27548,0.05,0.93
27549,0.13,0.67
27550,0.25,0.13
27551,0.19,0.28
27552,0.09,0.76
27553,0.07,0.18
27554,0.25,0.43
27555,0.08,0.29
27556,0.08,0.73
27557,0.23,0.76
27558,0.07,0.32
27559,0.17,0.64
27560,0.28,0.84
27561,0.39,0.65
27562,0.18,0.6
27563,0.24,0.68
27564,0.19,0.48
27565,0.18,0.22
27566,0.16,0.05
27567,0.16,0.72
27568,0.61,0.96
27569,0.04,0.1
27570,0.49,0.86
27571,0.11,0.17
27572,0.01,0.03
27573,0.02,0.52
27575,0.06,0.44
27576,0.03,0.12
27577,0.17,0.55
27578,0.15,0.34
27579,0.09,0.41
27580,0.07,0.33
27581,0.19,0.31
27582,0.09,0.22
27583,0.1,0.15
27584,0.75,0.61
27586,0.76,0.86
27587,0.04,0.44
27588,0.15,0.31
27589,0.08,0.47
27590,0.41,0.46
27591,0.5,0.89
27592,0.04,0.04
27593,0.1,0.16
27595,0.03,0.1
27596,0.13,0.28
27597,0.09,0.29
27599,0.61,0.9
27600,0.05,0.41
27601,0.01,0.85
27602,0.69,0.84
27603,0.07,0.09
27605,0.59,0.9
27606,0.14,0.36
27607,0.53,0.45
27608,0.1,0.48
27609,0.37,0.71
27610,0.4,0.7
27611,0.37,0.21
27612,0.03,0.56
27613,0.73,0.94
27614,0.1,0.48
27615,0.13,0.9
27616,0.01,0.03
27617,0.37,0.54
27618,0.14,0.6
27619,0.39,0.51
27620,0.5,0.69
27622,0.47,0.89
27624,0.12,0.79
27625,0.09,0.37
27626,0.02,0.17
27627,0.79,0.82
27628,0.07,0.62
27629,0.01,0.21
27630,0.42,0.68
27631,0.2,0.5
27632,0.06,0.13
27633,0.39,0.56
27635,0.07,0.3
27636,0.33,0.96
27637,0.09,0.26
27638,0.06,0.23
27639,0.05,0.17
27640,0.81,0.73
27641,0.46,0.65
27642,0.26,0.63
27643,0.03,0.09
27644,0.07,0.46
27645,0.17,0.15
27646,0.07,0.33
27647,0.17,0.37
27648,0.05,0.11
27649,0.03,0.74
27650,0.05,0.73
27651,0.13,0.7
27652,0.06,0.33
27653,0.05,0.1
27654,0.42,0.47
27655,0.14,0.37
27656,0.14,0.35
27657,0.53,0.59
27658,0.04,0.54
27659,0.04,0.06
27660,0.54,0.2
27661,0.31,0.08
27662,0.01,0.39
27663,0.22,0.88
27664,0.14,0.16
27665,0.82,0.76
27666,0.1,0.71
27667,0.07,0.22
27668,0.91,0.97
27669,0.13,0.89
27670,0.28,0.91
27672,0.04,0.26
27674,0.03,0.22
27675,0.46,0.67
27676,0.47,0.88
27677,0.12,0.35
27678,0.26,0.45
27679,0.12,0.36
27680,0.73,0.87
27681,0.01,0.02
27682,0.11,0.8
27683,0.07,0.46
27684,0.1,0.26
27685,0.06,0.1
27686,0.17,0.47
27687,0.04,0.06
27688,0.12,0.44
27689,0.5,0.91
27690,0.71,0.82
27691,0.69,0.85
27696,0.09,0.71
27697,0.69,0.93
27698,0.42,0.54
27699,0.02,0.33
27700,0.05,0.4
27702,0.42,0.12
27703,0.06,0.03
27704,0.05,0.22
27705,0.86,0.86
27706,0.08,0.91
27707,0.02,0.55
27708,0.57,0.72
27709,0.22,0.27
27711,0.46,0.59
27712,0.1,0.17
27713,0.04,0.08
27714,0.17,0.04
27715,0.78,0.77
27717,0.05,0.22
27718,0.1,0.42
27719,0.01,0.03
27720,0.07,0.09
27721,0.19,0.17
27722,0.05,0.43
27723,0.37,0.88
27725,0.04,0.32
27727,0.17,0.88
27729,0.07,0.08
27730,0.58,0.58
27731,0.71,0.91
27732,0.09,0.8
27733,0.09,0.22
27734,0.08,0.44
27735,0.65,0.64
27736,0.17,0.25
27737,0.05,0.73
27738,0.38,0.93
27739,0.44,0.73
27740,0.05,0.32
27741,0.53,0.53
27742,0.18,0.7
27743,0.52,0.67
27744,0.1,0.24
27745,0.75,0.88
27747,0.12,0.36
27749,0.35,0.88
27750,0.17,0.7
27751,0.09,0.12
27753,0.05,0.11
27754,0.21,0.91
27756,0.11,0.32
27757,0.04,0.12
27758,0.01,0.71
27759,0.04,0.18
27760,0.52,0.91
27761,0.08,0.6
27762,0.03,0.05
27763,0.05,0.35
27764,0.17,0.63
27765,0.09,0.21
27766,0.74,0.72
27767,0.44,0.85
27768,0.04,0.04
27769,0.13,0.57
27770,0.08,0.39
27771,0.09,0.5
27772,0.71,0.65
27773,0.13,0.39
27774,0.27,0.16
27775,0.2,0.26
27776,0.09,0.04
27777,0.08,0.21
27778,0.31,0.26
27780,0.06,0.78
27781,0.03,0.09
27782,0.75,0.88
27783,0.1,0.4
27784,0.15,0.21
27785,0.06,0.25
27786,0.04,0.24
27787,0.19,0.1
27789,0.81,0.93
27790,0.65,0.75
27793,0.37,0.37
27795,0.55,0.73
27797,0.48,0.57
27798,0.3,0.03
27800,0.09,0.32
27801,0.02,0.27
27802,0.48,0.83
27803,0.02,0.06
27804,0.78,0.88
27805,0.11,0.28
27807,0.22,0.83
27808,0.44,0.69
27809,0.59,0.86
27810,0.04,0.07
27811,0.06,0.21
27812,0.1,0.17
27813,0.24,0.22
27814,0.2,0.42
27815,0.1,0.5
27816,0.33,0.59
27817,0.08,0.45
27818,0.23,0.68
27820,0.72,0.69
27821,0.21,0.37
27822,0.1,0.26
27823,0.29,0.38
27824,0.16,0.88
27825,0.34,0.3
27826,0.08,0.33
27827,0.06,0.11
27828,0.03,0.31
27829,0.03,0.18
27830,0.32,0.26
27831,0.17,0.57
27832,0.12,0.38
27833,0.21,0.42
27834,0.77,0.84
27835,0.33,0.7
27836,0.07,0.91
27837,0.57,0.92
27838,0.05,0.27
27840,0.22,0.57
27841,0.13,0.66
27842,0.2,0.71
27843,0.16,0.69
27844,0.13,0.91
27845,0.03,0.61
27847,0.07,0.42
27848,0.81,0.94
27849,0.09,0.8
27850,0.2,0.06
27851,0.57,0.36
27852,0.37,0.71
27853,0.22,0.39
27854,0.16,0.79
27855,0.34,0.37
27856,0.29,0.8
27857,0.6,0.95
27858,0.56,0.94
27859,0.86,0.97
27860,0.12,0.8
27861,0.1,0.32
27863,0.39,0.5
27864,0.13,0.32
27865,0.2,0.47
27866,0.74,0.78
27867,0.35,0.43
27868,0.55,0.89
27869,0.06,0.23
27870,0.47,0.12
27871,0.08,0.57
27873,0.19,0.1
27874,0.33,0.86
27875,0.31,0.51
27876,0.06,0.04
27877,0.35,0.71
27880,0.02,0.17
27881,0.1,0.66
27882,0.12,0.45
27883,0.05,0.04
27884,0.18,0.33
27885,0.06,0.17
27886,0.16,0.41
27887,0.91,0.79
27888,0.06,0.32
27889,0.14,0.1
27890,0.23,0.48
27891,0.35,0.69
27892,0.09,0.2
27894,0.13,0.27
27896,0.1,0.29
27898,0.08,0.05
27900,0.57,0.94
27901,0.11,0.22
27902,0.04,0.26
27903,0.07,0.16
27904,0.26,0.28
27906,0.07,0.27
27907,0.93,0.97
27908,0.22,0.81
27909,0.17,0.27
27911,0.33,0.79
27913,0.03,0.48
27915,0.05,0.28
27916,0.17,0.46
27918,0.19,0.9
27920,0.08,0.84
27921,0.1,0.66
27922,0.22,0.44
27923,0.16,0.92
27924,0.09,0.03
27925,0.01,0.03
27926,0.32,0.22
27927,0.05,0.25
27928,0.8,0.89
27929,0.1,0.72
27930,0.28,0.3
27931,0.9,0.95
27933,0.01,0.21
27935,0.3,0.8
27936,0.1,0.77
27937,0.66,0.68
27938,0.06,0.12
27939,0.06,0.17
27940,0.07,0.25
27941,0.09,0.14
27942,0.03,0.18
27943,0.06,0.57
27944,0.27,0.3
27945,0.3,0.17
27946,0.07,0.19
27947,0.42,0.9
27948,0.01,0.04
27949,0.09,0.28
27950,0.03,0.69
27951,0.52,0.61
27952,0.07,0.88
27953,0.1,0.66
27954,0.1,0.7
27955,0.04,0.63
27956,0.34,0.69
27957,0.02,0.1
27958,0.53,0.83
27959,0.33,0.14
27960,0.3,0.83
27961,0.11,0.26
27962,0.74,0.85
27964,0.04,0.14
27965,0.1,0.04
27966,0.43,0.76
27967,0.08,0.14
27968,0.09,0.66
27969,0.63,0.83
27970,0.14,0.21
27971,0.13,0.77
27972,0.05,0.36
27973,0.73,0.74
27975,0.11,0.19
27976,0.09,0.2
27977,0.03,0.14
27978,0.06,0.25
27979,0.41,0.96
27980,0.07,0.12
27981,0.08,0.63
27982,0.18,0.59
27983,0.76,0.96
27984,0.19,0.11
27985,0.1,0.78
27986,0.43,0.28
27987,0.19,0.74
27990,0.07,0.41
27992,0.01,0.03
27994,0.42,0.8
27995,0.13,0.68
27996,0.03,0.04
27997,0.13,0.27
27998,0.13,0.69
27999,0.21,0.73
28001,0.03,0.04
28002,0.02,0.03
28003,0.08,0.49
28004,0.23,0.58
28005,0.12,0.25
28008,0.04,0.61
28009,0.05,0.56
28010,0.12,0.09
28011,0.02,0.46
28012,0.78,0.89
28013,0.35,0.66
28015,0.11,0.62
28017,0.1,0.17
28018,0.08,0.61
28019,0.1,0.11
28020,0.05,0.01
28021,0.36,0.54
28022,0.45,0.67
28023,0.41,0.45
28024,0.06,0.47
28025,0.63,0.75
28026,0.02,0.16
28028,0.23,0.94
28029,0.46,0.61
28030,0.64,0.95
28031,0.01,0.14
28032,0.05,0.73
28033,0.36,0.07
28034,0.34,0.47
28035,0.19,0.21
28036,0.1,0.18
28037,0.02,0.82
28038,0.07,0.11
28039,0.25,0.49
28040,0.23,0.93
28041,0.11,0.73
28042,0.1,0.26
28043,0.47,0.67
28044,0.11,0.25
28046,0.06,0.38
28047,0.23,0.41
28048,0.1,0.15
28049,0.06,0.77
28050,0.05,0.25
28051,0.1,0.47
28053,0.1,0.17
28054,0.42,0.06
28055,0.12,0.28
28056,0.34,0.9
28057,0.04,0.81
28058,0.06,0.16
28059,0.09,0.17
28060,0.03,0.12
28061,0.11,0.42
28062,0.36,0.4
28064,0.1,0.65
28067,0.09,0.8
28068,0.2,0.28
28069,0.07,0.43
28070,0.05,0.63
28072,0.09,0.28
28074,0.34,0.63
28075,0.1,0.2
28076,0.1,0.71
28077,0.17,0.35
28078,0.05,0.51
28079,0.29,0.94
28080,0.11,0.32
28082,0.16,0.59
28083,0.05,0.1
28084,0.1,0.14
28085,0.6,0.58
28086,0.28,0.44
28087,0.07,0.84
28089,0.1,0.33
28090,0.09,0.72
28091,0.05,0.13
28092,0.03,0.1
28093,0.12,0.47
28094,0.03,0.37
28095,0.86,0.88
28096,0.47,0.7
28097,0.1,0.07
28099,0.07,0.45
28100,0.08,0.25
28101,0.31,0.88
28102,0.06,0.4
28103,0.09,0.7
28104,0.12,0.86
28105,0.1,0.18
28106,0.12,0.45
28107,0.09,0.28
28108,0.45,0.6
28109,0.11,0.22
28110,0.36,0.92
28112,0.42,0.57
28113,0.11,0.58
28114,0.07,0.22
28116,0.11,0.27
28119,0.39,0.67
28120,0.49,0.67
28121,0.54,0.8
28122,0.04,0.01
28126,0.3,0.41
28127,0.14,0.35
28128,0.06,0.07
28129,0.39,0.91
28130,0.12,0.28
28131,0.12,0.03
28132,0.31,0.94
28133,0.19,0.76
28134,0.15,0.34
28135,0.09,0.96
28136,0.05,0.88
28138,0.08,0.6
28139,0.41,0.84
28140,0.54,0.87
28141,0.04,0.04
28142,0.11,0.26
28143,0.29,0.46
28144,0.1,0.92
28145,0.29,0.57
28146,0.04,0.15
28147,0.07,0.59
28148,0.56,0.61
28149,0.05,0.25
28150,0.24,0.8
28151,0.03,0.4
28152,0.3,0.55
28153,0.08,0.25
28154,0.06,0.21
28155,0.02,0.56
28156,0.02,0.67
28158,0.35,0.86
28159,0.4,0.71
28160,0.08,0.16
28161,0.23,0.74
28162,0.25,0.89
